,avg_fit_time,avg_score_time,avg_test_score,avg_train_score,colsample_bytree,gamma,learning_rate,reg_lambda
0,457.6005620956421,4.516445159912109,-0.37830943224673164,,0.5635481570613361,0.7651737788698608,0.13068776888774625,0.975266119264155
2,772.9075329303741,1.122300386428833,-0.38069332417258134,,0.9916741000579838,1.4646323859889845,0.14329568826053257,0.6596156952235359
40,338.29293060302734,0.6243054866790771,-0.38226057010632447,,0.5,1.0859940678715678,0.20693597141700645,0.7267820342802747
4,635.2142357826233,2.138747453689575,-0.38347595758515635,,0.7839728283815098,0.729151160320868,0.21528638949895074,0.916064714009182
3,531.6586520671844,2.369935989379883,-0.38463556662221343,,0.6398767482593781,1.2361941220401493,0.25582349855496656,0.9124501479544412
24,717.8232736587524,0.7758204936981201,-0.38697029284708145,,0.9576988631533142,2.3640343758154447,0.07433681717816697,0.4212740517573488
19,885.6272184848785,1.02779221534729,-0.392277165242614,,1.0,1.8407213428604645,0.4,0.7936214542075173
41,620.3873162269592,0.44933462142944336,-0.39246344935889793,,1.0,1.712903229019581,0.4,1.0
12,349.68962717056274,0.4803910255432129,-0.3925381789414532,,0.5,1.8593693621191119,0.4,1.0
13,621.209715127945,0.48133206367492676,-0.39263951680196735,,1.0,1.4930507259718222,0.4,1.0
22,333.3181116580963,0.5567152500152588,-0.3932590767914723,,0.5,1.4538848039954047,0.4,1.0
34,465.31087851524353,0.4750525951385498,-0.3933408151667965,,0.7335195798617028,1.6263352780705036,0.4,0.9007392760763484
30,606.5521671772003,0.420443058013916,-0.3941968841022086,,1.0,2.2718618437048823,0.4,0.40059324388742246
1,787.3595700263977,1.2508370876312256,-0.39479525494482,,0.9812941536766684,0.1672036265866066,0.2762413841136152,0.6192326828975037
23,672.4351630210876,0.4764437675476074,-0.39524339104081857,,0.9512797862148389,1.521375762901221,0.4,0.6729370447263359
17,510.8605387210846,0.7055859565734863,-0.39530952549557097,,0.5,1.3098500787835616,0.4,0.6977649068727011
38,320.57000255584717,0.5018699169158936,-0.3954375205119885,,0.5,1.669906994565681,0.4,0.5205010633057062
42,421.7470152378082,0.5076758861541748,-0.39552846400136193,,0.6556518531947775,1.262633782176914,0.4,0.8395912938080742
28,331.30762243270874,0.4919919967651367,-0.39597305605488853,,0.5,1.1101585296115222,0.4,1.0
20,368.8291652202606,0.6430039405822754,-0.3973413772344501,,0.5,0.8428071283260034,0.4,0.8034301129105488
39,484.79194808006287,0.6077935695648193,-0.3976592131444548,,0.7703052026372309,0.7275314064619944,0.4,0.6959367847646617
33,331.8348650932312,0.4940948486328125,-0.3982933039607001,,0.5,2.1184498027496765,0.4,0.24339056064683595
32,413.3667573928833,0.5944528579711914,-0.398474848899096,,0.6650405008936455,0.6792611870991289,0.4,1.0
37,617.3925168514252,0.4127047061920166,-0.3986891506592741,,1.0,0.8834963042940741,0.4,0.35210123454610526
44,326.71092891693115,0.4917142391204834,-0.3987035992001252,,0.5,1.2707615486485733,0.4,0.28523053244657837
31,319.767324924469,0.517533540725708,-0.39898770195265937,,0.5,0.9445607007316561,0.4,0.4046571821937744
27,618.8819446563721,0.6120526790618896,-0.3993260448704914,,1.0,0.497444298404736,0.4,1.0
25,610.2634134292603,0.5815095901489258,-0.4012944608431488,,1.0,0.5661003871228161,0.4,0.48790954391507424
11,369.88619589805603,0.4204270839691162,-0.40155996173679587,,0.5,3.0,0.4,0.0
43,330.79809165000916,0.42211222648620605,-0.40259525501991456,,0.5,2.1054913036658993,0.4,0.0
14,345.5936276912689,0.5243618488311768,-0.40262583832457133,,0.5,2.404009640417752,0.4,0.0
35,618.4655375480652,0.7158646583557129,-0.4029664487875517,,1.0,0.3356348168430994,0.4,0.7126267508453007
9,354.90211176872253,0.49286556243896484,-0.40451282063322247,,0.5,1.8169898417746722,0.4,0.0
8,694.3156311511993,0.8603997230529785,-0.40543262961612886,,1.0,0.0863330998109463,0.4,1.0
6,609.5758607387543,0.5014171600341797,-0.40848657520327847,,1.0,0.9582135322823631,0.4,0.0
26,324.3624413013458,0.4874694347381592,-0.4085725912778477,,0.5,0.9133936259703932,0.4,0.0
36,623.7598543167114,0.8519382476806641,-0.41022602036311495,,1.0,0.0,0.4,0.5306971903867496
29,638.7839963436127,0.535588264465332,-0.41232840195081877,,1.0,0.5841030805587691,0.4,0.0
7,438.92148089408875,3.2758798599243164,-5.671150141745356,,0.5,0.0,0.001,0.0
10,756.453084230423,1.512960433959961,-5.6711873997438,,1.0,1.6028632466288064,0.001,0.0
16,741.1924796104431,1.0142426490783691,-5.67123729190119,,1.0,3.0,0.001,0.0
5,594.5773341655731,0.3504948616027832,-5.671645382018974,,1.0,2.9999999999862186,0.001,1.0
15,583.7104978561401,0.2967529296875,-5.671651508238123,,1.0,1.178499642322205,0.001,1.0
21,308.61208295822144,0.4111483097076416,-5.671707474003809,,0.5,2.132469282398888,0.001,1.0
18,295.2514190673828,0.3440256118774414,-5.671717196296246,,0.5,0.0,0.001,1.0
